number,timestamp,channel,datahash
0,0,simulator_state,8a8f048ffac1a9af9ac640f2294304d9
1,32,main_cheetah_visualization,30774d5436e9f6e2afd727a7e7c10674
2,2171,LCM_SELF_TEST,b5d4daad26006e40ea8ccec623a2ff4d
3,2644,leg_control_command,19abd5d1afd1985553dfca43a5de7613
4,2662,leg_control_data,0fb9f591f17c90cae568363bedcdfeb7
5,2680,state_estimator,90a9454d0bc40b2ab68e771f2d551aa3
6,2841,leg_control_command,19abd5d1afd1985553dfca43a5de7613
7,2841,simulator_state,89f5f891c251a8e50782cc96648922e6
8,2859,main_cheetah_visualization,05ebf9339e4ac38a47a8d01eb147eade
9,2860,leg_control_data,b1c77d9ce3c48c0d9f5b71e839ab86b9
10,2874,state_estimator,061920134a9cc43b78eed1814c414187
11,2999,simulator_state,a4736b88fd043aa81922a8997561fe67
12,3002,leg_control_command,19abd5d1afd1985553dfca43a5de7613
13,3017,main_cheetah_visualization,57fd84c40b833d6a2367656adf53b1c2
14,3049,leg_control_data,6a034452df23c99cc1da628afb723d4f
15,3063,state_estimator,eedb9fe988469484a318bc18c680b248
16,3181,leg_control_command,19abd5d1afd1985553dfca43a5de7613
17,3182,simulator_state,7623aa6632c7c02feef6dbeb9b881291
18,3199,main_cheetah_visualization,15b9724d60a56aedeb8e88f069bab84d
19,3215,leg_control_data,9449fb10b6056f67502b3de5140905ea
20,3228,state_estimator,098b760078307846832190023e1d0ee6
21,3343,leg_control_command,19abd5d1afd1985553dfca43a5de7613
22,3344,simulator_state,a1580d6b071ae69f2ef19dc60266defd
23,3358,leg_control_data,8343fe6f513ce59365f33d41559b40d0
24,3360,main_cheetah_visualization,bb5e33cc0b935fd36b5cc58e2678d2ab
25,3369,state_estimator,f369aca2d874aee9f1825e6bcc4c2318
26,3474,simulator_state,5e0be20ede1ad83360a857d48099d7f0
27,3475,leg_control_command,19abd5d1afd1985553dfca43a5de7613
28,3491,leg_control_data,9af461804eb341b565b3ce123a225dae
29,3501,main_cheetah_visualization,70dce3cf11c08aef79ef7883d0e57774
30,3505,state_estimator,9d681c78f3634312b5a83a084990ab63
31,3622,leg_control_command,19abd5d1afd1985553dfca43a5de7613
32,3622,simulator_state,24a07ce6b1fadce7b232c69b41375443
33,3635,leg_control_data,647844ba4ef2d0bab9d33c753258681c
34,3636,main_cheetah_visualization,ec7f7276ae3b726b9078633b6573e7cf
35,3649,state_estimator,c4e153aefccd69b6c58885a0ce1ddd6a
36,3746,simulator_state,28e593b304600aeb5a98ebe8862b0d38
37,3747,leg_control_command,19abd5d1afd1985553dfca43a5de7613
38,3760,leg_control_data,4c949635616a681ca5d9da23192d385f
39,3770,state_estimator,d25f9343530134e8e07083dc43d0a81c
40,3777,main_cheetah_visualization,ed96baecb8d1ef45acc659bbdebe1858
41,16645,simulator_state,1415dbf4efd2ec34c61415d3e4577554
42,16649,leg_control_command,19abd5d1afd1985553dfca43a5de7613
43,16699,leg_control_data,e3905015e3c7e498e0a2ba0769e1eb8a
44,16725,state_estimator,3535516a9addec3aba37ce298daf6bf9
45,16790,main_cheetah_visualization,8ff94a868ebfc7e225ac18846462476f
46,16824,spi_debug_cmd,19abd5d1afd1985553dfca43a5de7613
47,16932,simulator_state,a655c5da3225a3f92fafa1a800feb08d
48,16944,leg_control_command,838d8ecd4f64702ab6eb3a6c563698ff
49,16956,main_cheetah_visualization,53e4249f67f6e855c3d5c72aa85a119d
